"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000006042.12"	1	0	0	0	2	0	0	0
"ENSG00000006047.13"	931.011	724	582	576	1375.005	645	955	1206.781
"ENSG00000006059.4"	0	0	0	0	0	0	0	0
"ENSG00000006062.18"	1426.304	1100.622	1518.619	1598.063	5252.93	2708.446	4980.246	7034.852
"ENSG00000006071.16"	0	0	0	0	0	1	0	1
"ENSG00000006116.4"	0	0	0	0	0	0	0	0
"ENSG00000006118.15"	4252	3302.437	3418.809	3140.942	7895.051	3778.613	6383.01	8606.974
"ENSG00000006125.18"	513.001	463.999	774	1239.958	1386.008	761.001	2612.071	2504.023
"ENSG00000006128.12"	0	0	2	0	0	0	0	0
"ENSG00000006194.11"	535	384.103	739.001	735.767	841.283	498.999	936.06	1394.441
"ENSG00000006210.7"	0	0	0	0	0	0	0	0
"ENSG00000006282.21"	3875.002	3093.893	1647	1627	2912.999	1446.001	1617.998	2251.014
"ENSG00000006283.18"	164.001	128.001	65	37	396	215.001	268.038	407
"ENSG00000006327.14"	2783.435	2207.534	3356.001	3384.989	8286.824	4181	7939.308	10948.813
"ENSG00000006377.11"	52	30.999	47	63	154	86.309	200	177.001
"ENSG00000006432.16"	193	208	237	310	479	205	623	810.666
"ENSG00000006451.8"	29	34	53	121	129.999	64	239	234.059
"ENSG00000006453.14"	820.219	718.454	986.051	1269.565	1583.677	888.423	2233.246	2793.948
"ENSG00000006459.11"	13	12	25	61	17	5	80	54
"ENSG00000006468.15"	0	0	0	0	0	0	0	0
"ENSG00000006530.18"	209.994	204	204	276.457	482.176	292.231	752.651	720.525
"ENSG00000006534.17"	14094.262	10873.658	6981.825	6770.566	5097.937	2432	5073.006	6547.541
"ENSG00000006555.11"	0	0	0	0	0	0	0	0
"ENSG00000006576.17"	21	20.001	29.012	53	75.001	37	155	114
"ENSG00000006606.9"	0	1	0	1	2	0	0	0
"ENSG00000006607.14"	216.87	216.21	340.381	492.589	615.866	412.342	865.037	989.324
"ENSG00000006611.17"	1271.085	1150	483	512.999	2267.001	1217.999	733.995	1016.008
"ENSG00000006625.18"	123.999	116.988	155.001	333.163	340.001	198.999	782.539	689
"ENSG00000006634.8"	15	14	10.073	37.973	28.067	22.001	70.978	47
"ENSG00000006638.13"	240	234	97	113.005	626	381	401.109	526.871
"ENSG00000006652.15"	50.532	53	123.001	271.894	183.885	108	965.097	866.424
"ENSG00000006659.13"	0	0	0	0	0	0	0	0
"ENSG00000006695.12"	299.969	232	330	394.616	419.475	276	517.965	790.03
"ENSG00000006704.11"	2974.012	2487.005	4454.01	4701.36	5033.449	2579.002	6017.413	8188.477
"ENSG00000006712.15"	1419.616	1284.001	1108.001	1369.237	1955.217	1029.012	1771	2218.153
"ENSG00000006715.16"	20	19	43	87	82	38	186	158
"ENSG00000006740.18"	162.999	118	230.001	234	468.024	244	594	734.038
"ENSG00000006744.19"	2656.09	2205.487	1961.938	2015.998	4256.073	2186	2996	3914.001
"ENSG00000006747.15"	1	2	1	1	2	1	13	3
"ENSG00000006756.16"	194.001	208.999	239	265.001	350	178	784	918.052
"ENSG00000006757.12"	956.457	752	746	849	1543	812.996	1346.91	1760.997
"ENSG00000006788.14"	0	0	0	0	0	0	0	0
"ENSG00000006831.10"	451.035	400	503	760.056	808	460	1190	1269.11
"ENSG00000006837.12"	4	0	2	5.198	3.347	4	11.65	14.94
"ENSG00000007001.13"	0	0	0	0	0	0	0	0
"ENSG00000007038.11"	7749.004	6317.375	5599.797	5646.586	8807.664	4377.999	5490.219	7448.475
"ENSG00000007047.16"	1711	1471.48	2926.098	2992.999	3111.214	1564	3625.435	4987.884
"ENSG00000007062.12"	0	1	0	0	0	0	0	0
"ENSG00000007080.11"	5527.096	4595.934	3978	4022.003	16232.326	7716.649	11282.762	14811.465
"ENSG00000007129.18"	0	0	0	0	0	0	0	0
"ENSG00000007168.14"	226.882	253	377.031	631	352.001	217	694	675.075
"ENSG00000007171.19"	0	0	0	0	61	38.004	15	16
"ENSG00000007174.18"	0	0	1	0	0	0	0	0
"ENSG00000007202.15"	4723.999	4270.001	5430.117	6391.388	6044.064	3319.246	8023.242	11128.129
"ENSG00000007216.16"	0	0	0	0	0	0	0	0
"ENSG00000007237.19"	39	21.001	27	44.001	76.999	40	74	90
"ENSG00000007255.10"	698	576.997	338	349	740.029	342.999	547.001	790.543
"ENSG00000007264.15"	1126	996.072	557	593.999	2043.981	1004	1091	1462.003
"ENSG00000007306.15"	0	0	0	0	0	0	0	0
"ENSG00000007312.14"	3	2	1	2	0	1	0	0
"ENSG00000007314.12"	93	96	54	45	153	82	152	250.004
"ENSG00000007341.19"	179.452	143.159	210.432	265.871	315.183	158.627	308.406	407.024
"ENSG00000007350.17"	0	0	0	0	0	0	0	0
"ENSG00000007372.25"	48	35	44.928	52	75.003	34.999	109.719	150
"ENSG00000007376.8"	4520.173	3648.905	4873.307	4875.997	8800.001	4144.365	7191.022	9603.362
"ENSG00000007384.15"	995.108	806.001	747	765.001	1012	532	980	1302.991
"ENSG00000007392.17"	203.999	166	190.001	267	389.001	211	470.001	553.001
"ENSG00000007402.12"	519.155	425.657	357	304.001	860.126	394.061	690.74	908
"ENSG00000007516.14"	675.124	541.331	174.97	198.205	301.186	130.151	130.139	140.213
"ENSG00000007520.4"	4092.902	3292.667	3246.03	3297.795	6519.895	3405.612	4949.571	6427.714
"ENSG00000007541.17"	4087.375	3314.242	2621.495	2508.492	5322.859	2635.254	3046.543	4230.105
"ENSG00000007545.16"	802.302	667.939	870.983	1034.14	1196.367	605.205	1494.381	1907.504
"ENSG00000007866.22"	2130.193	1772.211	1527	1585.222	2744.554	1347.067	2263.96	3060.497
"ENSG00000007908.16"	0	0	0	0	0	0	0	0
"ENSG00000007923.17"	2970.636	2453.821	2652.836	3083.751	5140.212	2736.626	4328.25	5615.066
"ENSG00000007933.13"	0	0	0	0	0	0	0	0
"ENSG00000007944.15"	9	6	12	18	56	18	60	61
"ENSG00000007952.18"	0	0	0	0	0	0	0	0
"ENSG00000007968.7"	812	641	457.001	475	1771	920.178	1654.746	2193.284
"ENSG00000008018.9"	1703.701	1568	1279.991	1375	2704.361	1597.86	2217.294	2616.313
"ENSG00000008056.14"	35	32	24	20	31	23	27	23
"ENSG00000008083.14"	32	63	79	150	150	76	281	266
"ENSG00000008086.13"	10	12	18	50	18	7	47	51
"ENSG00000008118.10"	0	0	0	1	0	0	0	0
"ENSG00000008128.23"	335.317	318.94	427.686	541.537	670.309	390.747	913.804	1100.119
"ENSG00000008130.15"	5816.673	4998.84	3569.687	3527.681	7331.463	3686.166	6182.125	8080.161
"ENSG00000008196.13"	0	0	0	0	0	0	0	0
"ENSG00000008197.5"	0	0	0	0	0	0	0	0
